data,label
42790344,0
27903442,0
79034425,0
90344252,0
3442524,0
34425248,1
44252484,0
42524848,0
25248484,0
52484846,0
24848462,0
48484629,0
84846296,0
48462961,0
84629617,0
46296179,0
62961796,0
29617967,0
96179671,0
61796711,0
17967113,0
79671135,0
96711356,0
67113569,0
71135695,0
11356951,0
13569510,0
35695102,0
56951020,0
69510201,0
95102019,0
51020191,0
10201918,0
2019189,0
20191897,0
1918976,1
19189767,0
91897672,0
18976724,0
89767242,0
97672427,0
76724275,0
67242759,0
72427593,0
24275932,0
42759323,0
27593233,0
75932330,0
59323308,0
93233082,0
32330823,0
23308234,0
33082344,0
30823449,0
8234499,0
82344994,0
23449946,0
34499467,0
44994677,0
49946775,0
99467755,0
94677553,0
46775537,0
67755379,0
77553793,0
75537939,0
55379390,0
53793908,0
37939088,0
79390880,1
93908801,0
39088010,0
90880105,0
8801051,0
88010518,0
80105187,0
1051877,0
10518775,0
5187758,0
51877581,0
18775812,0
87758120,0
77581201,0
75812015,0
58120153,0
81201533,0
12015330,0
20153300,0
1533007,0
15330077,0
53300772,0
33007729,0
30077290,0
772900,0
7729003,0
77290038,0
72900383,0
29003834,0
90038349,0
383499,0
3834990,0
38349908,0
83499087,0
34990878,0
49908782,0
99087824,0
90878243,0
8782433,0
87824339,0
78243390,0
82433903,0
24339032,0
43390320,0
33903208,0
39032088,0
90320882,0
3208827,0
32088273,0
20882730,0
8827307,0
88273071,0
82730711,0
27307112,0
73071126,0
30711269,0
7112690,0
71126902,0
11269027,0
12690276,0
26902760,0
69027602,0
90276027,0
2760275,0
27602756,0
76027568,0
60275688,0
2756889,0
27568894,0
75688942,0
56889420,0
68894205,0
88942052,0
89420527,0
94205273,0
42052731,0
20527310,0
5273104,0
52731048,0
27310485,0
73104857,0
31048570,0
10485706,0
4857060,0
48570606,0
85706068,0
57060682,0
70606827,0
6068278,0
60682789,0
6827892,0
68278925,0
82789253,0
27892536,0
78925360,0
89253604,0
92536046,0
25360465,0
53604654,0
36046541,0
60465411,0
4654111,0
46541117,0
65411179,0
54111791,0
41117917,0
11179172,0
11791722,0
17917227,0
79172276,0
91722763,0
17227635,0
72276352,1
22763521,0
27635211,0
76352112,0
63521123,0
35211234,0
52112344,0
21123443,0
11234431,0
12344311,0
23443116,0
34431169,0
44311698,0
43116989,0
31169895,0
11698955,0
16989558,0
69895580,0
98955804,0
89558048,1
95580487,0
55804875,0
58048753,0
80487536,0
4875360,1
48753600,1
87536009,0
75360094,0
53600949,0
36009490,0
60094904,0
949042,0
9490421,0
94904219,0
49042191,0
90421915,0
4219153,0
42191530,0
21915303,0
19153039,0
91530394,0
15303948,0
53039488,1
30394882,0
3948820,0
39488207,0
94882073,0
48820732,0
88207320,0
82073207,0
20732071,0
7320718,0
73207185,0
32071855,0
20718550,0
7185509,0
71855090,0
18550907,0
85509074,0
55090748,0
50907480,0
9074808,0
90748085,0
7480853,0
74808537,0
48085379,0
80853792,1
8537921,0
85379214,0
53792148,0
37921481,0
79214816,1
92148169,0
21481695,0
14816959,0
48169595,0
81695958,0
16959586,0
69595865,0
95958650,0
59586506,0
95865063,0
58650633,0
86506333,0
65063330,0
50633307,0
6333079,0
63330792,0
33307928,0
33079280,0
30792809,0
7928094,0
79280941,0
92809410,0
28094102,0
80941022,0
9410223,0
94102231,0
41022319,0
10223193,0
2231933,0
22319330,0
23193302,0
31933024,1
19330243,0
93302438,0
33024385,0
30243857,0
2438571,0
24385712,0
43857127,0
38571278,0
85712787,0
57127873,0
71278737,0
12787377,0
27873771,0
78737716,0
87377161,0
73771615,0
37716151,0
77161519,0
71615190,0
16151907,0
61519070,0
15190704,0
51907049,0
19070497,0
90704979,0
7049792,1
70497926,0
4979265,0
49792657,0
97926576,0
79265760,1
92657601,0
26576018,0
65760181,0
57601815,0
76018154,0
60181546,0
1815469,0
18154695,0
81546952,0
15469527,0
54695278,0
46952781,0
69527817,0
95278173,0
52781738,0
27817380,0
78173807,0
81738071,0
17380711,0
73807114,0
38071141,0
80711411,0
7114119,0
71141190,0
11411907,0
14119072,1
41190722,0
11907226,0
19072261,0
90722619,0
7226193,0
72261935,0
22619352,0
26193527,0
61935271,0
19352711,0
93527112,0
35271125,0
52711258,0
27112587,0
71125876,0
11258764,0
12587646,0
25876462,0
58764626,0
87646269,0
76462691,0
64626910,0
46269106,0
62691064,0
26910641,0
69106412,0
91064125,0
10641254,0
6412542,0
64125423,0
41254237,0
12542372,0
25423723,0
54237230,0
42372308,0
23723086,0
37230861,0
72308619,0
23086193,0
30861930,0
8619304,0
86193041,0
61930414,0
19304149,0
93041490,0
30414909,0
4149090,0
41490907,0
14909076,0
49090768,0
90907687,0
9076874,0
90768742,0
7687424,1
76874247,0
68742475,0
87424752,0
74247524,0
42475243,0
24752438,0
47524383,0
75243835,0
52438350,0
24383508,0
43835081,0
38350818,0
83508185,0
35081855,0
50818558,0
8185587,0
81855877,0
18558771,0
85587710,0
55877102,0
58771025,0
87710252,0
77102525,0
71025253,0
10252538,0
2525386,0
25253869,0
52538697,0
25386970,0
53869701,0
38697017,0
86970173,0
69701737,0
97017374,0
70173746,0
1737465,0
17374658,0
73746587,0
37465872,0
74658721,0
46587210,0
65872100,0
58721001,0
87210010,0
72100105,0
21001050,0
10010509,0
105096,0
1050963,0
10509630,0
5096304,0
50963042,0
9630423,0
96304235,0
63042353,0
30423533,0
4235337,0
42353376,1
23533765,0
35337651,0
53376516,0
33765161,0
37651617,0
76516171,0
65161713,0
51617133,0
16171337,0
61713378,0
17133782,0
71337825,0
13378257,0
33782571,0
37825713,0
78257131,0
82571311,0
25713116,0
57131162,0
71311620,0
13116208,0
31162083,0
11620834,0
16208346,0
62083461,0
20834611,0
8346113,0
83461133,0
34611330,0
46113307,0
61133075,0
11330758,0
13307581,0
33075819,0
30758195,0
7581954,0
75819549,0
58195499,0
81954994,0
19549942,0
95499425,0
54994255,0
49942556,0
99425565,0
94255651,0
42556511,0
25565118,0
55651188,0
56511883,0
65118835,0
51188358,0
11883581,0
18835817,0
88358178,0
83581788,0
35817884,0
58178848,1
81788482,0
17884824,0
78848244,0
88482442,0
84824423,0
48244233,0
82442335,0
24423354,0
44233545,0
42335450,0
23354509,0
33545097,0
35450972,0
54509723,0
45097237,0
50972373,0
9723732,0
97237322,0
72373222,0
23732227,0
37322271,0
73222712,0
32227126,0
22271265,0
22712654,0
27126549,0
71265492,0
12654928,0
26549284,0
65492841,0
54928411,0
49284112,0
92841121,0
28411213,0
84112136,0
41121367,0
11213671,0
12136718,0
21367185,0
13671858,0
36718589,0
67185895,0
71858950,0
18589506,0
85895066,0
58950663,0
89506637,0
95066372,0
50663721,0
6637216,1
66372166,0
63721665,0
37216653,0
72166536,0
21665369,0
16653692,0
66536926,0
65369263,0
53692632,0
36926328,0
69263287,0
92632879,0
26328797,0
63287970,0
32879706,0
28797063,0
87970636,0
79706368,1
97063687,0
70636878,0
6368782,0
63687821,0
36878211,0
68782113,0
87821135,0
78211359,0
82113598,0
21135987,0
11359877,0
13598777,0
35987773,0
59877735,0
98777357,0
87773578,0
77735781,0
77357812,0
73578129,0
35781291,0
57812913,0
78129130,0
81291301,0
12913012,0
29130122,0
91301223,0
13012230,0
30122303,0
1223035,0
12230358,0
22303584,1
